"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","search for fruits","firefox","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","4","profile","webkit","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
"","2","search for fruits","chromium","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","5","profile","chromium","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
"","0","search for fruits","webkit","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","6","profile","firefox","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
